"GBA-Nationaliteitentabel (tabel 32)",,"GBA-Landentabel (tabel 34)",,"Landnaam in xpert burgerzaken","5. Afstamming uit landeninformatie","ID afstamming","10. Nationaliteit uit landeninformatie","ID Nationaliteit uit landeninformatie","6. Naam uit landeninformatie","ID Naam uit landeninformatie","8. Huwelijk uit landeninformatie","ID Huwelijk uit landeninformatie","11.Legalisatie","ID Legalisatie","4.Meerderjarigheid","ID Meerderjarigheid","7.Overlijden","ID Overlijden","9.Nationaliteitswetten","ID Nationaliteitswetten","13 ambassades","ID ambassades",
"Code","Omschrijving","Code","Omschrijving",,"url","ID","url","ID Nationaliteit uit landeninformatie","url","id ",,"id  ",,"id  ",,,,,,,,,
39,"Burger van Azerbajdsjan",5097,"Azerbajdsjan","Azerbeidzjan","http://portal.xpertburgerzaken.nl/doc/352431",352431,"http://portal.xpertburgerzaken.nl/doc/265874",265874,"http://portal.xpertburgerzaken.nl/doc/352447",352447,"http://portal.xpertburgerzaken.nl/doc/352457",352457,"http://portal.xpertburgerzaken.nl/doc/310754",310754,"http://portal.xpertburgerzaken.nl/doc/265872",265872,"http://portal.xpertburgerzaken.nl/doc/265876",265876,"http://portal.xpertburgerzaken.nl/doc/269228",269228,"http://portal.xpertburgerzaken.nl/doc/338300",338300,
200,"Bahamaanse",6033,"Bahama-eilanden","Bahama's","http://portal.xpertburgerzaken.nl/doc/352476",352476,"http://portal.xpertburgerzaken.nl/doc/265887",265887,"http://portal.xpertburgerzaken.nl/doc/352492",352492,"http://portal.xpertburgerzaken.nl/doc/352502",352502,"http://portal.xpertburgerzaken.nl/doc/310759",310759,"http://portal.xpertburgerzaken.nl/doc/265885",265885,"http://portal.xpertburgerzaken.nl/doc/265889",265889,"http://portal.xpertburgerzaken.nl/doc/269384",269384,"http://portal.xpertburgerzaken.nl/doc/338301",338301,
301,"Bahreinse",5057,"Bahrein","Bahrein","http://portal.xpertburgerzaken.nl/doc/352520",352520,"http://portal.xpertburgerzaken.nl/doc/265901",265901,"http://portal.xpertburgerzaken.nl/doc/352537",352537,"http://portal.xpertburgerzaken.nl/doc/352547",352547,"http://portal.xpertburgerzaken.nl/doc/310761",310761,"http://portal.xpertburgerzaken.nl/doc/265899",265899,"http://portal.xpertburgerzaken.nl/doc/265903",265903,"http://portal.xpertburgerzaken.nl/doc/269465",269465,"http://portal.xpertburgerzaken.nl/doc/338302",338302,
345,"Burger van Bangladesh",7084,"Bangladesh","Bangladesh (Volksrepubiek Bangladesh)","http://portal.xpertburgerzaken.nl/doc/352565",352565,"http://portal.xpertburgerzaken.nl/doc/265914",265914,"http://portal.xpertburgerzaken.nl/doc/352581",352581,"http://portal.xpertburgerzaken.nl/doc/352591",352591,"http://portal.xpertburgerzaken.nl/doc/310763",310763,"http://portal.xpertburgerzaken.nl/doc/265912",265912,"http://portal.xpertburgerzaken.nl/doc/265916",265916,"http://portal.xpertburgerzaken.nl/doc/269488",269488,"http://portal.xpertburgerzaken.nl/doc/338303",338303,
251,"Barbadaanse",7004,"Barbados","Barbados","http://portal.xpertburgerzaken.nl/doc/352619",352619,"http://portal.xpertburgerzaken.nl/doc/265927",265927,"http://portal.xpertburgerzaken.nl/doc/352635",352635,"http://portal.xpertburgerzaken.nl/doc/352645",352645,"http://portal.xpertburgerzaken.nl/doc/310765",310765,"http://portal.xpertburgerzaken.nl/doc/265925",265925,"http://portal.xpertburgerzaken.nl/doc/265929",265929,"http://portal.xpertburgerzaken.nl/doc/269501",269501,"http://portal.xpertburgerzaken.nl/doc/338304",338304,
38,"Burger van Belarus (Wit-Rusland)",5098,"Belarus (Wit-Rusland)","Belarus","http://portal.xpertburgerzaken.nl/doc/352663",352663,"http://portal.xpertburgerzaken.nl/doc/265940",265940,"http://portal.xpertburgerzaken.nl/doc/352680",352680,"http://portal.xpertburgerzaken.nl/doc/352690",352690,"http://portal.xpertburgerzaken.nl/doc/310768",310768,"http://portal.xpertburgerzaken.nl/doc/265938",265938,"http://portal.xpertburgerzaken.nl/doc/265942",265942,"http://portal.xpertburgerzaken.nl/doc/269542",269542,"http://portal.xpertburgerzaken.nl/doc/338305",338305,
52,"Belgische",5010,"België","België","http://portal.xpertburgerzaken.nl/doc/352708",352708,"http://portal.xpertburgerzaken.nl/doc/265954",265954,"http://portal.xpertburgerzaken.nl/doc/352725",352725,"http://portal.xpertburgerzaken.nl/doc/352735",352735,"http://portal.xpertburgerzaken.nl/doc/310774",310774,"http://portal.xpertburgerzaken.nl/doc/265952",265952,"http://portal.xpertburgerzaken.nl/doc/265956",265956,"http://portal.xpertburgerzaken.nl/doc/269693",269693,"http://portal.xpertburgerzaken.nl/doc/338306",338306,
202,"Belizaanse",8017,"Belize","Belize","http://portal.xpertburgerzaken.nl/doc/352755",352755,"http://portal.xpertburgerzaken.nl/doc/265967",265967,"http://portal.xpertburgerzaken.nl/doc/352771",352771,"http://portal.xpertburgerzaken.nl/doc/352781",352781,"http://portal.xpertburgerzaken.nl/doc/310777",310777,"http://portal.xpertburgerzaken.nl/doc/265965",265965,"http://portal.xpertburgerzaken.nl/doc/265969",265969,"http://portal.xpertburgerzaken.nl/doc/269748",269748,"http://portal.xpertburgerzaken.nl/doc/338307",338307,
111,"Beninse",8023,"Benin","Benin (Dahomey) en Dahomey (Benin)","http://portal.xpertburgerzaken.nl/doc/352799",352799,"http://portal.xpertburgerzaken.nl/doc/265980",265980,"http://portal.xpertburgerzaken.nl/doc/352815",352815,"http://portal.xpertburgerzaken.nl/doc/352825",352825,"http://portal.xpertburgerzaken.nl/doc/310779",310779,"http://portal.xpertburgerzaken.nl/doc/265978",265978,"http://portal.xpertburgerzaken.nl/doc/265982",265982,"http://portal.xpertburgerzaken.nl/doc/269809",269809,"http://portal.xpertburgerzaken.nl/doc/338308",338308,
302,"Bhutaanse",5058,"Bhutan","Bhutan","http://portal.xpertburgerzaken.nl/doc/352843",352843,"http://portal.xpertburgerzaken.nl/doc/265993",265993,"http://portal.xpertburgerzaken.nl/doc/352859",352859,"http://portal.xpertburgerzaken.nl/doc/352869",352869,"http://portal.xpertburgerzaken.nl/doc/310783",310783,"http://portal.xpertburgerzaken.nl/doc/265991",265991,"http://portal.xpertburgerzaken.nl/doc/265995",265995,"http://portal.xpertburgerzaken.nl/doc/269897",269897,"http://portal.xpertburgerzaken.nl/doc/338309",338309,
