gem.code;Naam;Adres;Postcode;Plaats
236;Geldermalsen;Postbus 112;4190 CC;Geldermalsen
1771;Geldrop-Mierlo;Postbus 10101;5660 GA;Geldrop
1652;Gemert-Bakel;Postbus 10000;5420 DA;Gemert
907;Gennep;Postbus 9003;6590 HD;Gennep
689;Giessenlanden;Postbus 1;4223 ZG;Hoornaar
784;Gilze en Rijen;Postbus 73;5120 AB;Rijen
1924;Goeree-Overflakkee;Postbus 1;3240 AA;Middelharnis
664;Goes;Postbus 2118;4460 MC;Goes
785;Goirle;Postbus 17;5050 AA;Goirle
1942;Gooise Meren;Postbus 6000;1400 HA;Bussum
512;Gorinchem;Postbus 108;4200 AC;Gorinchem
513;Gouda;Postbus 1086;2800 BB;Gouda
786;Grave;Postbus 7;5360 AA;Grave
14;Groningen;Postbus 30026;9700 RM;Groningen
15;Grootegast;Postbus 46;9860 AA;Grootegast
1729;Gulpen-Wittem;Postbus 56;6270 AB;Gulpen
158;Haaksbergen;Postbus 102;7480 AC;Haaksbergen
788;Haaren;Postbus 44;5076 ZG;Haaren
392;Haarlem;Postbus 511;2003 PB;Haarlem
393;Haarlemmerliede en Spaarnwoude;Postbus 83;1160 AB;Zwanenburg
394;Haarlemmermeer;Postbus 250;2130 AG;Hoofddorp
1655;Halderberge;Postbus 5;4730 AA;Oudenbosch
160;Hardenberg;Postbus 500;7770 BA;Hardenberg
243;Harderwijk;Postbus 149;3840 AC;Harderwijk
523;Hardinxveld-Giessendam;Postbus 175;3370 AD;Hardinxveld-Giessendam
17;Haren;Postbus 21;9750 AA;Haren (Gr)
72;Harlingen;Postbus 10000;8860 HA;Harlingen
244;Hattem;Postbus 93;8050 AB;Hattem
396;Heemskerk;Postbus 1;1960 AA;Heemskerk
397;Heemstede;Postbus 352;2100 AJ;Heemstede
246;Heerde;Postbus 175;8180 AD;Heerde
74;Heerenveen;Postbus 15000;8440 GA;Heerenveen
398;Heerhugowaard;Postbus 390;1700 AJ;Heerhugowaard
917;Heerlen;Postbus 1;6400 AA;Heerlen
1658;Heeze-Leende;Postbus 10000;5590 GA;Heeze
399;Heiloo;Postbus 1;1850 AA;Heiloo
163;Hellendoorn;Postbus 200;7440 AE;Nijverdal
530;Hellevoetsluis;Postbus 13;3220 AA;Hellevoetsluis
794;Helmond;Postbus 950;5700 AZ;Helmond
531;Hendrik-Ido-Ambacht;Postbus 34;3340 AA ;Hendrik-Ido-Ambacht
164;Hengelo (O);Postbus 18;7550 AA;Hengelo (O)
63;het Bildt;Postbus 34;9076 ZN;St.-Annaparochie
252;Heumen;Postbus 200;6580 AZ;Malden
797;Heusden;Postbus 41;5250 AA;Vlijmen
534;Hillegom;Postbus 32;2180 AA;Hillegom
798;Hilvarenbeek;Postbus 3;5080 AA;Hilvarenbeek
402;Hilversum;Postbus 9900;1201 GM;Hilversum
1735;Hof van Twente;Postbus 54;7470 AB;Goor
1911;Hollands Kroon;Postbus 8;1760 AA;Anna Paulowna
118;Hoogeveen;Postbus 20000;7900 PA;Hoogeveen
18;Hoogezand-Sappemeer;Postbus 75;9600 AB;Hoogezand
405;Hoorn;Postbus 603;1620 AR;Hoorn
1507;Horst aan de Maas;Postbus 6005;5960 AA;Horst 
321;Houten;Postbus 30;3990 DA;Houten
406;Huizen;Postbus 5;1270 AA;Huizen
677;Hulst;Postbus 49;4560 AA;Hulst
353;IJsselstein;Postbus 26;3400 AA;IJsselstein
1884;Kaag en Braassem;Postbus 1;2370 AA;Roelofarendsveen
166;Kampen;Postbus 5009;8260 GA;Kampen
678;Kapelle;Postbus 79;4420 AC;Kapelle
537;Katwijk;Postbus 589;2220 AN;Katwijk
928;Kerkrade;Postbus 600;6460 AP;Kerkrade
1598;Koggenland;Postbus 21;1633 ZG;Avenhorn
79;Kollumerland c.a.;Postbus 13;9290 AA;Kollum
588;Korendijk;Postbus 3708;3265 ZG;Piershil
542;Krimpen aan den IJssel;Postbus 200;2920 AE;Krimpen aan den IJssel
1931;Krimpenerwaard;Postbus 51;2820 AB;Stolwijk
1659;Laarbeek;Postbus 190;5740 AD;Beek en Donk
1685;Landerd;Postbus 35;5410 AA;Zeeland
882;Landgraaf;Postbus 31000;6370 AA;Landgraaf
415;Landsmeer;Postbus 1;1120 AA;Landsmeer
416;Langedijk;Postbus 15;1723 ZG;Noord-Scharwoude
1621;Lansingerland;Postbus 1;2650 AA;Berkel en Rodenrijs
417;Laren;Postbus 71;3755 ZH;Eemnes
22;Leek;Postbus 100;9350 AC;Leek
545;Leerdam;Postbus 15;4140 AA;Leerdam
80;Leeuwarden;Postbus 21000;8900 JA;Leeuwarden
81;Leeuwarderadeel;Postbus 24;9050 AA;Stiens
546;Leiden;Postbus 9100;2300 PC;Leiden
547;Leiderdorp;Postbus 35;2350 AA;Leiderdorp
1916;Leidschendam-Voorburg;Postbus 1005;2260 BA;Leidschendam
995;Lelystad;Postbus 91;8200 AB;Lelystad
1640;Leudal;Postbus 3008;6093 ZG;Heythuysen
327;Leusden;Postbus 150;3830 AD;Leusden
733;Lingewaal;Postbus 1014;4147 ZG;Asperen
1705;Lingewaard;Postbus 15;6680 AA;Bemmel
553;Lisse;Postbus 200;2160 AE;Lisse
140;Littenseradiel;Postbus 1;8730 AA;Wommels
262;Lochem;Postbus 17;7240 AA;Lochem
809;Loon op Zand;Postbus 7;5170 AA;Kaatsheuvel
331;Lopik;Postbus 50;3410 CB;Lopik
24;Loppersum;Postbus 25;9919 ZG;Loppersum
168;Losser;Postbus 90;7580 AB;Losser
263;Maasdriel;Postbus 10000;5330 GA;Kerkdriel
1641;Maasgouw;Postbus 7000;6050 AA;Maasbracht
556;Maassluis;Postbus 55;3140 AB;Maassluis
935;Maastricht;Postbus 1992;6201 BZ;Maastricht
25;Marum;Postbus 2;9363 ZG;Marum
420;Medemblik;Postbus 45;1687 ZG;Wognum
938;Meerssen;Postbus 90;6230 AB;Meerssen
1948;Meierijstad;Postbus 10001;5460 DA;Veghel
1908;Menameradiel;Postbus 3;9036 ZW;Menaam
1987;Menterwolde;Postbus 2;9649 ZG;Muntendam
119;Meppel;Postbus 501;7940 AM;Meppel
687;Middelburg;Postbus 6000;4330 LA;Middelburg
1842;Midden-Delfland;Postbus  1;2636 ZG;Schipluiden
1731;Midden-Drenthe;Postbus 24;9410 AA;Beilen
815;Mill en Sint Hubert;Postbus 39;5450 AA;Mill
1709;Moerdijk;Postbus 4;4760 AA;Zevenbergen
1927;Molenwaard;Postbus 5;2970 AA;Bleskensgraaf
1955;Montferland;Postbus 47;6940 BA;Didam
335;Montfoort;Postbus 41;3417 ZG;Montfoort
944;Mook en Middelaar;Postbus 200;6585 ZK;Mook
1740;Neder-Betuwe;Postbus 20;4043 ZG;Opheusden
946;Nederweert;Postbus 2728;6030 AA;Nederweert
304;Neerijnen;Postbus 30;4180 BA;Waardenburg
356;Nieuwegein;Postbus 1;3430 AA;Nieuwegein
569;Nieuwkoop;Postbus 1;2460 AA;Ter Aar
267;Nijkerk;Postbus 1000;3860 BA;Nijkerk
268;Nijmegen;Postbus 9105;6500 HG;Nijmegen
1930;Nissewaard;Postbus  25;3200 AA;Spijkenisse
1695;Noord-Beveland;Postbus 3;4490 AA;Wissenkerke
1699;Noordenveld;Postbus 109;9300 AC;Roden
171;Noordoostpolder;Postbus 155;8300 AD;Emmeloord
575;Noordwijk;Postbus 298;2200 AG;Noordwijk
576;Noordwijkerhout;Postbus 13;2210 AA;Noordwijkerhout
820;Nuenen c.a.;Postbus 10000;5670 GA;Nuenen
302;Nunspeet;Postbus 79;8070 AB;Nunspeet
951;Nuth;Postbus 22000;6360 AA;Nuth
579;Oegstgeest;Postbus 1270;2340 BG;Oegstgeest
