"cbscode","gemeente","adres","pc","plaats"
392,Haarlem,Postbus 511,"2003PB",Haarlem
394,Haarlemmermeer,Postbus 250,"2130AG",Hoofddorp
396,Heemskerk,Postbus 1,"1960AA",Heemskerk
397,Heemstede,Postbus 352,"2100AJ",Heemstede
399,Heiloo,Postbus 1,"1850AA",Heiloo
400,Den Helder,Postbus 36,"1780AA",Den Helder
402,Hilversum,Postbus 9900,"1201GM",Hilversum
405,Hoorn,Postbus 603,"1620AR",Hoorn
406,Huizen,Postbus 5,"1270AA",Huizen
415,Landsmeer,Postbus 1,"1120AA",Landsmeer
417,Laren,Postbus 71,"3755ZH",Eemnes
420,Medemblik,Postbus 45,"1687ZG",Wognum
431,Oostzaan,Postbus 20,"1530AA",Wormer
432,Opmeer,Postbus 199,"1715ZK",Spanbroek
437,Ouder-Amstel,Postbus 35,"1190AA",Ouderkerk aan de Amstel
439,Purmerend,Postbus 15,"1440AA",Purmerend
441,Schagen,Postbus 8,"1740AA",Schagen
448,Texel,Postbus 200,"1790AE",Den Burg
450,Uitgeest,Postbus 7,"1910AA",Uitgeest
451,Uithoorn,Postbus 8,"1420AA",Uithoorn
453,Velsen,Postbus 465,"1970AL",IJmuiden
473,Zandvoort,Postbus 2,"2040AA",Zandvoort
479,Zaanstad,Postbus 2000,"1500GA",Zaandam
482,Alblasserdam,Postbus 2,"2950AA",Alblasserdam
484,Alphen aan den Rijn,Postbus 13,"2400AA",Alphen aan den Rijn
489,Barendrecht,Postbus 501,"2990EA",Barendrecht
498,Drechterland,Postbus 9,"1616ZG",Hoogkarspel
502,Capelle aan den IJssel,Postbus 70,"2900AB",Capelle aan den IJssel
503,Delft,Postbus 78,"2600ME",Delft
505,Dordrecht,Postbus 8,"3300AA",Dordrecht
512,Gorinchem,Postbus 108,"4200AC",Gorinchem
513,Gouda,Postbus 1086,"2800BB",Gouda
518,'s-Gravenhage,Postbus 12620,"2500DL",'s-Gravenhage
523,Hardinxveld-Giessendam,Postbus 175,"3370AD",Hardinxveld-Giessendam
531,Hendrik-Ido-Ambacht,Postbus 34,"3340AA",Hendrik-Ido-Ambacht
532,Stede Broec,Postbus 20,"1610AA",Bovenkarspel
534,Hillegom,Postbus 32,"2180AA",Hillegom
537,Katwijk,Postbus 589,"2220AN",Katwijk
542,Krimpen aan den IJssel,Postbus 200,"2920AE",Krimpen aan den IJssel
546,Leiden,Postbus 9100,"2300PC",Leiden
547,Leiderdorp,Postbus 35,"2350AA",Leiderdorp
553,Lisse,Postbus 200,"2160AE",Lisse
556,Maassluis,Postbus 55,"3140AB",Maassluis
569,Nieuwkoop,Postbus 1,"2460AA",Ter Aar
575,Noordwijk,Postbus 298,"2200AG",Noordwijk
579,Oegstgeest,Postbus 1270,"2340BG",Oegstgeest
589,Oudewater,Postbus 100,"3420DC",Oudewater
590,Papendrecht,Postbus 11,"3350AA",Papendrecht
597,Ridderkerk,Postbus 271,"2980AG",Ridderkerk
599,Rotterdam,Postbus 70013,"3000KR",Rotterdam
603,Rijswijk,Postbus 5305,"2280HH",Rijswijk
606,Schiedam,Postbus 1501,"3100EA",Schiedam
610,Sliedrecht,Postbus 16,"3360AA",Sliedrecht
613,Albrandswaard,Postbus 1000,"3160GA",Rhoon
622,Vlaardingen,Postbus 1002,"3130EB",Vlaardingen
626,Voorschoten,Postbus 393,"2250AJ",Voorschoten
627,Waddinxveen,Postbus 400,"2740AK",Waddinxveen
629,Wassenaar,Postbus 499,"2240AL",Wassenaar
632,Woerden,Postbus 45,"3440AA",Woerden
637,Zoetermeer,Postbus 15,"2700AA",Zoetermeer
638,Zoeterwoude,Postbus 34,"2380AA",Zoeterwoude
642,Zwijndrecht,Postbus 15,"3330AA",Zwijndrecht
654,Borsele,Postbus 1,"4450AA",Heinkenszand
664,Goes,Postbus 2118,"4460MC",Goes
668,West Maas en Waal,Postbus 1,"6658ZG",Beneden-Leeuwen
677,Hulst,Postbus 49,"4560AA",Hulst
678,Kapelle,Postbus 79,"4420AC",Kapelle
687,Middelburg,Postbus 6000,"4330LA",Middelburg
703,Reimerswaal,Postbus 70,"4416ZH",Kruiningen
715,Terneuzen,Postbus 35,"4530AA",Terneuzen
716,Tholen,Postbus 51,"4690AB",Tholen
717,Veere,Postbus 1000,"4357ZV",Domburg
718,Vlissingen,Postbus 3000,"4380GV",Vlissingen
736,De Ronde Venen,Postbus 250,"3640AG",Mijdrecht
737,Tytsjerksteradiel,Postbus 3,"9250AA",Burgum
738,Aalburg,Postbus 40,"4260AA",Wijk en Aalburg
743,Asten,Postbus 290,"5720AG",Asten
744,Baarle-Nassau,Postbus 105,"5110AC",Baarle-Nassau
748,Bergen op Zoom,Postbus 35,"4600AA",Bergen op Zoom
753,Best,Postbus 50,"5680AB",Best
755,Boekel,Postbus 99,"5427ZH",Boekel
757,Boxtel,Postbus 10000,"5280DA",Boxtel
758,Breda,Postbus 90156,"4800RH",Breda
762,Deurne,Postbus 3,"5750AA",Deurne
765,Pekela,Postbus 20000,"9665ZM",Oude Pekela
766,Dongen,Postbus 10153,"5100GE",Dongen
770,Eersel,Postbus 12,"5520AA",Eersel
772,Eindhoven,Postbus 90150,"5600RB",Eindhoven
777,Etten-Leur,Postbus 10100,"4870GA",Etten-Leur
779,Geertruidenberg,Postbus 10001,"4940GA",Raamsdonksveer
784,Gilze en Rijen,Postbus 73,"5120AB",Rijen
785,Goirle,Postbus 17,"5050AA",Goirle
794,Helmond,Postbus 950,"5700AZ",Helmond
796,'s-Hertogenbosch,Postbus 12345,"5200GZ",'s-Hertogenbosch
797,Heusden,Postbus 41,"5250AA",Vlijmen
798,Hilvarenbeek,Postbus 3,"5080AA",Hilvarenbeek
809,Loon op Zand,Postbus 7,"5170AA",Kaatsheuvel
820,Nuenen c.a.,Postbus 10000,"5670GA",Nuenen
823,Oirschot,Postbus 11,"5688ZG",Oirschot
824,Oisterwijk,Postbus 10101,"5060GA",Oisterwijk
826,Oosterhout,Postbus 10150,"4900GB",Oosterhout
828,Oss,Postbus 5,"5340BA",Oss
840,Rucphen,Postbus 9,"4715ZG",Rucphen
845,Sint-Michielsgestel,Postbus 10000,"5270GA",Sint-Michielsgestel
847,Someren,Postbus 290,"5710AG",Someren
848,Son en Breugel,Postbus 8,"5690AA",Son
851,Steenbergen,Postbus 6,"4650AA",Steenbergen
852,Waterland,Postbus 1000,"1140BA",Monnickendam
855,Tilburg,Postbus 90118,"5000LA",Tilburg
858,Valkenswaard,Postbus 10100,"5550GA",Valkenswaard
861,Veldhoven,Postbus 10101,"5500GA",Veldhoven
865,Vught,Postbus 10100,"5260GA",Vught
866,Waalre,Postbus 10000,"5580GA",Waalre
867,Waalwijk,Postbus 10150,"5140GB",Waalwijk
873,Woensdrecht,Postbus 24,"4630AA",Hoogerheide
879,Zundert,Postbus 10001,"4880GA",Zundert
880,Wormerland,Postbus 20,"1530AA",Wormer
882,Landgraaf,Postbus 31000,"6370AA",Landgraaf
888,Beek,Postbus 20,"6190AA",Beek
889,Beesel,Postbus 4750,"5953ZK",Reuver
893,Bergen (L),Postbus 140,"5854ZJ",Bergen (L)
899,Brunssum,Postbus 250,"6440AG",Brunssum
907,Gennep,Postbus 9003,"6590HD",Gennep
917,Heerlen,Postbus 1,"6400AA",Heerlen
928,Kerkrade,Postbus 600,"6460AP",Kerkrade
935,Maastricht,Postbus 1992,"6201BZ",Maastricht
938,Meerssen,Postbus 90,"6230AB",Meerssen
944,Mook en Middelaar,Postbus 200,"6585ZK",Mook
946,Nederweert,Postbus 2728,"6030AA",Nederweert
957,Roermond,Postbus 900,"6040AX",Roermond
965,Simpelveld,Postbus 21000,"6369ZG",Simpelveld
971,Stein,Postbus 15,"6170AA",Stein
981,Vaals,Postbus 450,"6290AL",Vaals
983,Venlo,Postbus 3434,"5902RK",Venlo
984,Venray,Postbus 500,"5800AM",Venray
986,Voerendaal,Postbus 23000,"6367ZG",Voerendaal
988,Weert,Postbus 950,"6000AZ",Weert
994,Valkenburg aan de Geul,Postbus 998,"6300AZ",Valkenburg aan de Geul
995,Lelystad,Postbus 91,"8200AB",Lelystad
1507,Horst aan de Maas,Postbus 6005,"5960AA",Horst
